Zeit,GamePk,Park,Heim,Gast,HeimStarterId,HeimStarter,GastStarterId,GastStarter
2026-09-23T22:40:00Z,823410,Citizens Bank Park,Philadelphia Phillies,Milwaukee Brewers,,,,
2026-09-23T23:05:00Z,823492,Yankee Stadium,New York Yankees,Tampa Bay Rays,,,,
2026-09-23T23:10:00Z,824710,Fenway Park,Boston Red Sox,Cleveland Guardians,,,,
2026-09-23T23:15:00Z,824868,Truist Park,Atlanta Braves,Cincinnati Reds,,,,
2026-09-23T23:40:00Z,824060,Kauffman Stadium,Kansas City Royals,Chicago White Sox,,,,
2026-09-23T23:40:00Z,824625,Wrigley Field,Chicago Cubs,Miami Marlins,,,,
2026-09-24T00:05:00Z,822841,Globe Life Field,Texas Rangers,New York Mets,,,,
2026-09-24T00:40:00Z,824301,Coors Field,Colorado Rockies,Arizona Diamondbacks,,,,
2026-09-24T01:40:00Z,824951,Sutter Health Park,Athletics,Los Angeles Angels,,,,
2026-09-24T02:10:00Z,823894,UNIQLO Field at Dodger Stadium,Los Angeles Dodgers,San Diego Padres,,,,
2026-09-24T02:10:00Z,823086,T-Mobile Park,Seattle Mariners,Houston Astros,,,,
2026-09-24T16:35:00Z,823326,PNC Park,Pittsburgh Pirates,St. Louis Cardinals,,,,
2026-09-24T18:10:00Z,824059,Kauffman Stadium,Kansas City Royals,Chicago White Sox,,,,
2026-09-24T18:20:00Z,824623,Wrigley Field,Chicago Cubs,Miami Marlins,,,,
2026-09-24T18:35:00Z,822842,Globe Life Field,Texas Rangers,New York Mets,,,,
2026-09-24T19:10:00Z,824298,Coors Field,Colorado Rockies,Arizona Diamondbacks,,,,
2026-09-24T22:05:00Z,823411,Citizens Bank Park,Philadelphia Phillies,Milwaukee Brewers,,,,
2026-09-24T22:45:00Z,824707,Fenway Park,Boston Red Sox,Cleveland Guardians,,,,
2026-09-24T23:05:00Z,823493,Yankee Stadium,New York Yankees,Tampa Bay Rays,,,,
2026-09-24T23:15:00Z,824866,Truist Park,Atlanta Braves,Cincinnati Reds,,,,
2026-09-25T01:40:00Z,824950,Sutter Health Park,Athletics,Houston Astros,,,,
2026-09-25T01:40:00Z,823087,T-Mobile Park,Seattle Mariners,Los Angeles Angels,,,,
2026-09-25T02:10:00Z,823895,UNIQLO Field at Dodger Stadium,Los Angeles Dodgers,San Diego Padres,,,,
2026-09-25T22:40:00Z,824220,Comerica Park,Detroit Tigers,Pittsburgh Pirates,,,,
2026-09-25T22:40:00Z,823409,Citizens Bank Park,Philadelphia Phillies,Tampa Bay Rays,,,,
2026-09-25T22:45:00Z,822681,Nationals Park,Washington Nationals,New York Mets,,,,
2026-09-25T23:05:00Z,823491,Yankee Stadium,New York Yankees,Baltimore Orioles,,,,
2026-09-25T23:07:00Z,822760,Rogers Centre,Toronto Blue Jays,Cincinnati Reds,,,,
2026-09-25T23:10:00Z,824706,Fenway Park,Boston Red Sox,Chicago Cubs,,,,
2026-09-25T23:10:00Z,823816,loanDepot park,Miami Marlins,Atlanta Braves,,,,
2026-09-25T23:40:00Z,824058,Kauffman Stadium,Kansas City Royals,Cleveland Guardians,,,,
2026-09-25T23:40:00Z,824544,Rate Field,Chicago White Sox,Colorado Rockies,,,,
2026-09-25T23:40:00Z,823735,American Family Field,Milwaukee Brewers,St. Louis Cardinals,,,,
2026-09-26T00:10:00Z,823652,Target Field,Minnesota Twins,Texas Rangers,,,,
2026-09-26T01:40:00Z,824947,Sutter Health Park,Athletics,Houston Astros,,,,
2026-09-26T01:40:00Z,823248,Petco Park,San Diego Padres,Arizona Diamondbacks,,,,
2026-09-26T02:10:00Z,823085,T-Mobile Park,Seattle Mariners,Los Angeles Angels,,,,
2026-09-26T02:15:00Z,823167,Oracle Park,San Francisco Giants,Los Angeles Dodgers,,,,
