Datum,Turnier,Serie,Court,Belag,Runde,BestOf,Sieger,Verlierer,SRang,VRang,S1,V1,S2,V2,S3,V3,S4,V4,S5,V5,SSaetze,VSaetze,SSpiele,VSpiele,Status,QuoteS,QuoteV
2024-01-04,Hong Kong Tennis Open,ATP250,Outdoor,Hard,2nd Round,3,Fils A.,Huesler M.A.,36,194,7,5,7,5,,,,,,,2,,14,10,Completed,1.4,2.91
2024-01-04,Hong Kong Tennis Open,ATP250,Outdoor,Hard,2nd Round,3,Rublev A.,Broady L.,5,108,6,4,7,6,,,,,,,2,,13,10,Completed,1.09,7.05
2024-01-05,Hong Kong Tennis Open,ATP250,Outdoor,Hard,Quarterfinals,3,Ruusuvuori E.,Kotov P.,69,67,6,3,7,6,,,,,,,2,,13,9,Completed,1.6,2.29
2024-01-05,Hong Kong Tennis Open,ATP250,Outdoor,Hard,Quarterfinals,3,Ofner S.,Bautista Agut R.,43,57,6,4,6,4,,,,,,,2,,12,8,Completed,2.83,1.42
2024-01-05,Hong Kong Tennis Open,ATP250,Outdoor,Hard,Quarterfinals,3,Shang J.,Tiafoe F.,183,16,6,4,6,4,,,,,,,2,,12,8,Completed,3.51,1.29
2024-01-05,Hong Kong Tennis Open,ATP250,Outdoor,Hard,Quarterfinals,3,Rublev A.,Fils A.,5,36,6,4,1,6,6,2,,,,,2,1,13,12,Completed,1.29,3.54
2024-01-06,Hong Kong Tennis Open,ATP250,Outdoor,Hard,Semifinals,3,Ruusuvuori E.,Ofner S.,69,43,4,6,7,5,6,3,,,,,2,1,17,14,Completed,1.62,2.28
2024-01-06,Hong Kong Tennis Open,ATP250,Outdoor,Hard,Semifinals,3,Rublev A.,Shang J.,5,183,4,6,6,2,6,3,,,,,2,1,16,11,Completed,1.15,5.27
2024-01-07,Hong Kong Tennis Open,ATP250,Outdoor,Hard,The Final,3,Rublev A.,Ruusuvuori E.,5,69,6,4,6,4,,,,,,,2,,12,8,Completed,1.29,3.59
2024-01-08,Adelaide International,ATP250,Outdoor,Hard,1st Round,3,Draper J.,Baez S.,62,26,6,1,6,3,,,,,,,2,,12,4,Completed,1.2,4.46
2024-01-08,Adelaide International,ATP250,Outdoor,Hard,1st Round,3,Shevchenko A.,Etcheverry T.,48,30,7,6,4,6,7,5,,,,,2,1,18,17,Completed,1.69,2.15
2024-01-08,Adelaide International,ATP250,Outdoor,Hard,1st Round,3,Kecmanovic M.,Mcdonald M.,55,42,6,4,6,2,,,,,,,2,,12,6,Completed,1.54,2.43
2024-01-08,Adelaide International,ATP250,Outdoor,Hard,1st Round,3,Lajovic D.,Kokkinakis T.,52,68,3,6,6,1,6,4,,,,,2,1,15,11,Completed,2.59,1.48
2024-01-08,Adelaide International,ATP250,Outdoor,Hard,1st Round,3,Arnaldi M.,Zapata Miralles B.,41,77,6,4,6,3,,,,,,,2,,12,7,Completed,1.15,5.29
2024-01-09,Adelaide International,ATP250,Outdoor,Hard,1st Round,3,O Connell C.,Rinderknech A.,71,97,6,4,6,4,,,,,,,2,,12,8,Completed,2.06,1.75
2024-01-09,Adelaide International,ATP250,Outdoor,Hard,1st Round,3,Bolt A.,Seyboth Wild T.,325,78,6,3,6,2,,,,,,,2,,12,5,Completed,1.83,1.96
2024-01-09,Adelaide International,ATP250,Outdoor,Hard,1st Round,3,Thompson J.,Diaz Acosta F.,47,93,6,2,6,2,,,,,,,2,,12,4,Completed,1.22,4.25
2024-01-09,Adelaide International,ATP250,Outdoor,Hard,1st Round,3,Sonego L.,Hanfmann Y.,46,49,7,5,2,6,7,6,,,,,2,1,16,17,Completed,1.56,2.41
2024-01-09,Adelaide International,ATP250,Outdoor,Hard,1st Round,3,Lehecka J.,Walton A.,32,176,6,1,6,3,,,,,,,2,,12,4,Completed,1.31,3.37
2024-01-09,Adelaide International,ATP250,Outdoor,Hard,1st Round,3,Bublik A.,Mccabe J.,31,278,6,2,6,3,,,,,,,2,,12,5,Completed,1.28,3.6
2024-01-09,Adelaide International,ATP250,Outdoor,Hard,1st Round,3,Evans D.,Hijikata R.,40,70,6,3,6,4,,,,,,,2,,12,7,Completed,1.78,2.01
2024-01-10,Adelaide International,ATP250,Outdoor,Hard,2nd Round,3,O Connell C.,Shevchenko A.,71,48,6,3,6,1,,,,,,,2,,12,4,Completed,2.13,1.71
2024-01-10,Adelaide International,ATP250,Outdoor,Hard,2nd Round,3,Jarry N.,Arnaldi M.,18,41,6,7,7,6,6,4,,,,,2,1,19,17,Completed,1.77,2.03
2024-01-10,Adelaide International,ATP250,Outdoor,Hard,2nd Round,3,Draper J.,Kecmanovic M.,62,55,5,7,7,6,7,6,,,,,2,1,19,19,Completed,1.44,2.73
2024-01-10,Adelaide International,ATP250,Outdoor,Hard,2nd Round,3,Korda S.,Sonego L.,29,46,6,4,7,6,,,,,,,2,,13,10,Completed,1.57,2.37
2024-01-10,Adelaide International,ATP250,Outdoor,Hard,2nd Round,3,Paul T.,Bolt A.,14,325,6,3,6,2,,,,,,,2,,12,5,Completed,1.26,3.8
2024-01-10,Adelaide International,ATP250,Outdoor,Hard,2nd Round,3,Lehecka J.,Lajovic D.,32,52,7,5,4,6,6,3,,,,,2,1,17,14,Completed,1.44,2.73
2024-01-10,Adelaide International,ATP250,Outdoor,Hard,2nd Round,3,Bublik A.,Evans D.,31,40,4,6,6,2,6,1,,,,,2,1,16,9,Completed,1.85,1.94
2024-01-10,Adelaide International,ATP250,Outdoor,Hard,2nd Round,3,Musetti L.,Thompson J.,25,47,6,4,6,1,,,,,,,2,,12,5,Completed,2.33,1.59
2024-01-11,Adelaide International,ATP250,Outdoor,Hard,Quarterfinals,3,Korda S.,O Connell C.,29,71,6,4,6,4,,,,,,,2,,12,8,Completed,1.4,2.92
2024-01-11,Adelaide International,ATP250,Outdoor,Hard,Quarterfinals,3,Lehecka J.,Jarry N.,32,18,6,4,7,5,,,,,,,2,,13,9,Completed,2.04,1.76
2024-01-11,Adelaide International,ATP250,Outdoor,Hard,Quarterfinals,3,Bublik A.,Musetti L.,31,25,6,3,6,7,7,5,,,,,2,1,19,15,Completed,1.9,1.89
