Datum,GamePk,Park,Heim,Gast,HeimF5,GastF5,HeimI1,GastI1,HeimR,GastR,HeimHits,GastHits,HeimHitsF5,GastHitsF5,HeimStarterId,HeimStarter,GastStarterId,GastStarter
2024-04-02,746169,Dodger Stadium,Los Angeles Dodgers,San Francisco Giants,5,2,1,0,5,4,9,9,7,4,518489,Ryan Brasier,657277,Logan Webb
2024-04-03,747059,Oriole Park at Camden Yards,Baltimore Orioles,Kansas City Royals,0,2,0,1,4,3,6,10,1,9,669203,Corbin Burnes,666142,Cole Ragans
2024-04-03,745114,Tropicana Field,Tampa Bay Rays,Texas Rangers,0,0,0,0,1,4,8,10,4,3,650644,Aaron Civale,543135,Nathan Eovaldi
2024-04-03,746083,loanDepot park,Miami Marlins,Los Angeles Angels,2,6,0,2,2,10,4,12,3,8,640462,A.J. Puk,663776,Patrick Sandoval
2024-04-03,746008,American Family Field,Milwaukee Brewers,Minnesota Twins,3,1,0,0,3,7,7,11,7,4,605452,Joe Ross,663978,Chris Paddack
2024-04-03,745678,Oakland Coliseum,Oakland Athletics,Boston Red Sox,0,1,0,0,0,1,8,10,5,7,548389,Ross Stripling,601713,Nick Pivetta
2024-04-03,747219,Chase Field,Arizona Diamondbacks,New York Yankees,2,2,0,0,5,6,9,8,6,5,518876,Merrill Kelly,607074,Carlos Rodón
2024-04-03,745603,Citizens Bank Park,Philadelphia Phillies,Cincinnati Reds,0,2,0,0,1,4,6,7,3,2,554430,Zack Wheeler,593423,Frankie Montas
2024-04-03,745275,T-Mobile Park,Seattle Mariners,Cleveland Guardians,0,8,0,3,0,8,5,11,3,10,669923,George Kirby,671106,Logan Allen
2024-04-03,745440,Petco Park,San Diego Padres,St. Louis Cardinals,3,1,1,0,3,2,7,6,5,4,605397,Joe Musgrove,668868,Zack Thompson
2024-04-03,744869,Nationals Park,Washington Nationals,Pittsburgh Pirates,4,2,0,0,5,3,10,4,6,3,592866,Trevor Williams,656605,Mitch Keller
2024-04-03,746900,Wrigley Field,Chicago Cubs,Colorado Rockies,5,0,0,0,9,8,10,11,5,2,681432,Luke Little,615698,Cal Quantrill
2024-04-03,746407,Minute Maid Park,Houston Astros,Toronto Blue Jays,4,0,0,0,8,0,15,1,11,1,664299,Cristian Javier,605135,Chris Bassitt
2024-04-03,746163,Dodger Stadium,Los Angeles Dodgers,San Francisco Giants,4,1,0,0,5,4,9,5,6,2,607192,Tyler Glasnow,690986,Kyle Harrison
2024-04-04,745844,Citi Field,New York Mets,Detroit Tigers,3,0,0,0,3,6,6,9,6,2,605288,Adrian Houser,663554,Casey Mize
2024-04-04,745843,Citi Field,New York Mets,Detroit Tigers,0,1,0,0,2,1,3,5,0,3,676130,José Buttó,666159,Matt Manning
2024-04-04,744870,Nationals Park,Washington Nationals,Pittsburgh Pirates,2,7,0,4,4,7,8,11,3,9,680686,Josiah Gray,527048,Martín Pérez
2024-04-04,745928,Target Field,Minnesota Twins,Cleveland Guardians,1,3,0,0,2,4,7,7,5,5,641154,Pablo López,676440,Tanner Bibee
2024-04-04,745200,Busch Stadium,St. Louis Cardinals,Miami Marlins,3,4,0,0,8,5,10,9,3,8,458681,Lance Lynn,677960,Ryan Weathers
2024-04-04,746327,Kauffman Stadium,Kansas City Royals,Chicago White Sox,2,0,0,0,10,1,10,8,5,5,607625,Seth Lugo,647336,Michael Soroka
2024-04-05,745764,Yankee Stadium,New York Yankees,Toronto Blue Jays,0,0,0,0,0,3,6,7,4,3,573186,Marcus Stroman,579328,Yusei Kikuchi
2024-04-05,746497,Comerica Park,Detroit Tigers,Oakland Athletics,3,0,0,0,5,4,8,5,4,1,669373,Tarik Skubal,676664,JP Sears
2024-04-05,746897,Wrigley Field,Chicago Cubs,Los Angeles Dodgers,6,5,0,2,9,7,9,12,6,8,543294,Kyle Hendricks,676272,Bobby Miller
2024-04-05,746576,Coors Field,Colorado Rockies,Tampa Bay Rays,1,2,1,1,10,7,12,13,5,4,596295,Austin Gomber,641793,Zack Littell
2024-04-05,745524,PNC Park,Pittsburgh Pirates,Baltimore Orioles,1,2,0,0,2,5,6,12,5,5,683003,Jared Jones,680570,Grayson Rodriguez
2024-04-05,745361,Oracle Park,San Francisco Giants,San Diego Padres,1,2,1,1,3,2,5,6,3,4,663855,Jordan Hicks,656302,Dylan Cease
2024-04-05,746733,Great American Ball Park,Cincinnati Reds,New York Mets,1,1,1,0,2,3,7,4,5,2,668881,Hunter Greene,500779,Jose Quintana
2024-04-05,744874,Nationals Park,Washington Nationals,Philadelphia Phillies,0,3,0,0,0,4,2,9,2,6,571578,Patrick Corbin,605400,Aaron Nola
2024-04-05,747143,Truist Park,Atlanta Braves,Arizona Diamondbacks,2,5,1,3,6,5,12,9,6,7,675911,Spencer Strider,674072,Tommy Henry
2024-04-05,746328,Kauffman Stadium,Kansas City Royals,Chicago White Sox,1,1,1,0,2,1,7,4,5,1,663903,Brady Singer,607200,Erick Fedde
2024-04-05,745033,Globe Life Field,Texas Rangers,Houston Astros,7,0,0,0,10,2,16,3,13,1,674003,Cody Bradford,686613,Hunter Brown
2024-04-05,746007,American Family Field,Milwaukee Brewers,Seattle Mariners,3,0,0,0,6,5,8,8,4,1,642547,Freddy Peralta,669302,Logan Gilbert
2024-04-05,746249,Angel Stadium,Los Angeles Angels,Boston Red Sox,1,4,0,0,6,8,6,9,2,5,656288,Griffin Canning,676710,Kutter Crawford
2024-04-06,746498,Comerica Park,Detroit Tigers,Oakland Athletics,0,2,0,2,0,4,5,5,2,2,628317,Kenta Maeda,621112,Paul Blackburn
2024-04-06,745926,Target Field,Minnesota Twins,Cleveland Guardians,1,3,1,0,1,3,2,7,1,5,657746,Joe Ryan,471911,Carlos Carrasco
2024-04-06,745197,Busch Stadium,St. Louis Cardinals,Miami Marlins,3,0,0,0,3,1,8,8,5,4,571927,Steven Matz,669432,Trevor Rogers
2024-04-06,746896,Wrigley Field,Chicago Cubs,Los Angeles Dodgers,0,3,0,0,1,4,7,9,3,7,696136,Jordan Wicks,808967,Yoshinobu Yamamoto
2024-04-06,745522,PNC Park,Pittsburgh Pirates,Baltimore Orioles,3,0,0,0,5,4,11,4,6,0,663559,Bailey Falter,669330,Tyler Wells
2024-04-06,744873,Nationals Park,Washington Nationals,Philadelphia Phillies,2,4,0,0,2,5,4,9,4,4,663623,Jake Irvin,624133,Ranger Suarez
2024-04-06,746731,Great American Ball Park,Cincinnati Reds,New York Mets,2,5,0,0,9,6,8,11,3,8,607259,Nick Martinez,622663,Luis Severino
2024-04-06,745031,Globe Life Field,Texas Rangers,Houston Astros,2,2,0,0,7,2,15,8,8,6,592351,Jon Gray,641585,J.P. France
2024-04-06,745766,Yankee Stadium,New York Yankees,Toronto Blue Jays,8,2,3,0,9,8,10,12,8,6,657376,Clarke Schmidt,592332,Kevin Gausman
2024-04-06,746329,Kauffman Stadium,Kansas City Royals,Chicago White Sox,0,0,0,0,3,0,10,3,3,1,608379,Michael Wacha,623167,Chris Flexen
2024-04-06,746006,American Family Field,Milwaukee Brewers,Seattle Mariners,0,3,0,0,3,5,5,10,1,8,669084,DL Hall,682243,Bryce Miller
2024-04-06,747140,Truist Park,Atlanta Braves,Arizona Diamondbacks,5,8,0,6,9,8,15,12,7,11,608331,Max Fried,694297,Brandon Pfaadt
2024-04-06,746575,Coors Field,Colorado Rockies,Tampa Bay Rays,4,1,0,1,6,8,11,9,8,1,663372,Ryan Feltner,641302,Tyler Alexander
2024-04-06,745359,Oracle Park,San Francisco Giants,San Diego Padres,0,4,0,4,0,4,4,5,2,3,676775,Keaton Winn,650633,Michael King
2024-04-06,746248,Angel Stadium,Los Angeles Angels,Boston Red Sox,0,1,0,0,2,1,6,3,4,3,672282,Reid Detmers,676477,Garrett Whitlock
2024-04-07,745523,PNC Park,Pittsburgh Pirates,Baltimore Orioles,1,2,0,0,3,2,7,6,4,5,594835,Marco Gonzales,665152,Dean Kremer
2024-04-07,744871,Nationals Park,Washington Nationals,Philadelphia Phillies,3,2,0,0,3,2,8,5,6,5,669022,MacKenzie Gore,650911,Cristopher Sánchez
2024-04-07,747141,Truist Park,Atlanta Braves,Arizona Diamondbacks,3,2,0,0,5,2,7,5,5,4,519242,Chris Sale,669194,Ryne Nelson
2024-04-07,745765,Yankee Stadium,New York Yankees,Toronto Blue Jays,5,2,0,0,8,3,8,5,4,3,661563,Luis Gil,670102,Bowden Francis
2024-04-07,746734,Great American Ball Park,Cincinnati Reds,New York Mets,1,3,0,1,1,3,3,9,3,7,671096,Andrew Abbott,640455,Sean Manaea
2024-04-07,746493,Comerica Park,Detroit Tigers,Oakland Athletics,0,6,0,2,1,7,7,14,2,9,656427,Jack Flaherty,671212,Joe Boyle
2024-04-07,746330,Kauffman Stadium,Kansas City Royals,Chicago White Sox,2,3,0,0,5,3,5,12,3,8,679525,Alec Marsh,676979,Garrett Crochet
2024-04-07,746003,American Family Field,Milwaukee Brewers,Seattle Mariners,10,2,3,1,12,4,14,8,13,6,607067,Colin Rea,676106,Emerson Hancock
2024-04-07,745198,Busch Stadium,St. Louis Cardinals,Miami Marlins,1,7,0,6,3,10,5,13,2,7,502043,Kyle Gibson,676974,Max Meyer
2024-04-07,746895,Wrigley Field,Chicago Cubs,Los Angeles Dodgers,7,0,3,0,8,1,9,4,7,2,684007,Shota Imanaga,694813,Gavin Stone
2024-04-07,746574,Coors Field,Colorado Rockies,Tampa Bay Rays,0,3,0,0,2,3,7,8,3,7,641712,Dakota Hudson,686752,Ryan Pepiot
2024-04-07,745362,Oracle Park,San Francisco Giants,San Diego Padres,0,1,0,1,3,2,6,11,2,5,657277,Logan Webb,663362,Matt Waldron
2024-04-07,746251,Angel Stadium,Los Angeles Angels,Boston Red Sox,0,3,0,0,2,12,8,12,4,3,681217,Chase Silseth,656557,Tanner Houck
2024-04-07,745032,Globe Life Field,Texas Rangers,Houston Astros,0,3,0,0,1,3,2,4,0,3,641540,Dane Dunning,669854,Ronel Blanco
2024-04-08,746654,Progressive Field,Cleveland Guardians,Chicago White Sox,4,0,0,0,4,0,10,4,7,2,663474,Triston McKenzie,621383,Tanner Banks
2024-04-08,745761,Yankee Stadium,New York Yankees,Miami Marlins,7,0,0,0,7,0,9,2,8,1,641482,Nestor Cortes,666200,Jesús Luzardo
2024-04-08,745520,PNC Park,Pittsburgh Pirates,Detroit Tigers,6,2,0,1,7,4,12,9,9,5,656605,Mitch Keller,681857,Reese Olson
2024-04-08,746735,Great American Ball Park,Cincinnati Reds,Milwaukee Brewers,9,3,0,0,10,8,10,12,8,5,668933,Graham Ashcraft,676879,Aaron Ashby
2024-04-08,744956,Rogers Centre,Toronto Blue Jays,Seattle Mariners,4,0,0,0,5,2,11,7,9,3,621244,José Berríos,622491,Luis Castillo
2024-04-08,747142,Truist Park,Atlanta Braves,New York Mets,4,4,0,0,7,8,12,11,7,5,450203,Charlie Morton,527054,Julio Teheran
2024-04-08,745925,Target Field,Minnesota Twins,Los Angeles Dodgers,2,1,0,1,2,4,3,10,3,3,641927,Bailey Ober,572020,James Paxton
2024-04-08,745194,Busch Stadium,St. Louis Cardinals,Philadelphia Phillies,0,2,0,0,3,5,6,10,2,6,571945,Miles Mikolas,605513,Spencer Turnbull
2024-04-08,745034,Globe Life Field,Texas Rangers,Houston Astros,5,10,5,2,5,10,8,11,6,10,571760,Andrew Heaney,668874,Blair Henley
2024-04-08,746569,Coors Field,Colorado Rockies,Arizona Diamondbacks,3,4,1,0,7,5,13,7,8,6,607536,Kyle Freeland,668678,Zac Gallen
2024-04-08,746252,Angel Stadium,Los Angeles Angels,Tampa Bay Rays,5,0,2,0,7,1,14,8,9,3,542881,Tyler Anderson,621107,Zach Eflin
2024-04-08,745432,Petco Park,San Diego Padres,Chicago Cubs,0,8,0,0,9,8,9,8,2,7,506433,Yu Darvish,665871,Javier Assad
2024-04-08,745363,Oracle Park,San Francisco Giants,Washington Nationals,1,6,1,0,1,8,6,10,3,7,605483,Blake Snell,592866,Trevor Williams
2024-04-09,745517,PNC Park,Pittsburgh Pirates,Detroit Tigers,2,1,0,1,3,5,8,9,5,4,527048,Martín Pérez,663554,Casey Mize
2024-04-09,746981,Fenway Park,Boston Red Sox,Baltimore Orioles,1,3,1,0,1,7,2,13,2,4,678394,Brayan Bello,669203,Corbin Burnes
2024-04-09,746653,Progressive Field,Cleveland Guardians,Chicago White Sox,5,5,2,5,5,7,8,12,7,7,671106,Logan Allen,647336,Michael Soroka
2024-04-09,746732,Great American Ball Park,Cincinnati Reds,Milwaukee Brewers,1,5,0,0,5,9,10,13,4,6,593423,Frankie Montas,605452,Joe Ross
2024-04-09,745762,Yankee Stadium,New York Yankees,Miami Marlins,2,0,0,0,3,2,7,5,4,3,607074,Carlos Rodón,640462,A.J. Puk
